,ncpu,NX,Time,Niter,kCI/S,kCI/S/Core,load,,OS,MPI,CXX,CPU
,,,,,,,,,,,,
,,,,,,,,,,,,
HZAU,8,32,22.059,100,148.55,18.57,4096,,,,,
,,,,,,,,,,,,
GS+openblas,24,46,30.492,100,319.22,13.30,4056,,,,,
,8,32,29.624,100,110.61,13.83,4096,,,,,
,,,,,,,,,,,,
GS,24,46,32.925,100,295.63,12.32,4056,,,,,
,8,32,32.210,100,101.73,12.72,4096,,,,,
,,,,,,,,,,,,
BSSCA,64,64,47.82,100,548.19,8.57,4096,,,,,
,128,81,52.325,100,1015.65,7.93,4152,93%,,,,
,256,102,47.930,100,2214.08,8.65,4145,101%,,,,
,640,138,46.794,100,5616.26,8.78,4106,102%,,,,
,2560,219,53.816,100,19517.35,7.62,4103,89%,,,,
,6400,297,57.023,100,45942.99,7.18,4093,84%,,,,
,10240,347,58.185,100,71808.75,7.01,4080,82%,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BSSCT,96,73,48.751,100,797.97,8.31,4052,,,,,
,384,116,54.253,100,2877.07,7.49,4065,87%,,,,
,1920,199,55.758,100,14133.58,7.36,4104,86%,,,,
,,,,,,,,,,,,
THTJ,64,64,0,100,#DIV/0!,#DIV/0!,4096,,,,,
,256,102,0.000,100,#DIV/0!,#DIV/0!,4145,#####,,,,
,1920,199,0.000,100,#DIV/0!,#DIV/0!,4104,#####,,,,
,,,,,,,,,,,,
CS,32,51,40.490,100,327.61,10.24,4145,,,,,
,64,64,42.301,100,619.71,9.68,4096,95%,,,,
,128,81,49.169,100,1080.85,8.44,4152,82%,,,,
,256,102,53.593,100,1980.12,7.73,4145,76%,,,,